active;id;furniture_type_id;name;unit;currency;price
;;;;;;
+;id_1;chrome;Выносной профиль-порог хром;мп.;BYN;35
+;id_2;chrome_matte;Выносной профиль-порог матовый хром;мп.;BYN;35
+;id_3;black;Выносной профиль-порог черный;мп.;BYN;35
+;id_4;bronze;Выносной профиль-порог бронза;мп.;BYN;40
+;id_5;gold;Выносной профиль-порог золото;мп.;BYN;40
+;id_6;gold_matte;Выносной профиль-порог матовое золото;мп.;BYN;40
+;id_7;white;Выносной профиль-порог белый;мп.;BYN;40
+;id_8;gunmetal_grey;Выносной профиль-порог оружейная сталь;мп.;BYN;40
