active;id;type;furniture_type_id;door_type_ids;interface_name;name;unit;currency;price;pathImg
+;id_14;bracket;white;one_swing, two_swing;Ручка-скоба 1;Ручка-скоба 1 белый;шт.;BYN;102;
+;id_14;bracket;gunmetal_grey;one_swing, two_swing;Ручка-скоба 1;Ручка-скоба 1 оружейная сталь;шт.;BYN;102;
+;id_8_1;bracket;chrome;one_swing, two_swing;Ручка-скоба 2;Ручка-скоба 2 хром;шт.;BYN;120;
+;id_9_1;bracket;chrome_matte;one_swing, two_swing;Ручка-скоба 2;Ручка-скоба 2 матовый хром;шт.;BYN;120;
+;id_10_1;bracket;black;one_swing, two_swing;Ручка-скоба 2;Ручка-скоба 2 черный;шт.;BYN;130;
+;id_11_1;bracket;bronze;one_swing, two_swing;Ручка-скоба 2;Ручка-скоба 2 бронза;шт.;BYN;130;
+;id_12_1;bracket;gold;one_swing, two_swing;Ручка-скоба 2;Ручка-скоба 2 золото;шт.;BYN;130;
+;id_13_1;bracket;gold_matte;one_swing, two_swing;Ручка-скоба 2;Ручка-скоба 2 матовое золото;шт.;BYN;140;
+;id_14_1;bracket;white;one_swing, two_swing;Ручка-скоба 2;Ручка-скоба 2 белый;шт.;BYN;145;
+;id_14_1;bracket;gunmetal_grey;one_swing, two_swing;Ручка-скоба 2;Ручка-скоба 2 оружейная сталь;шт.;BYN;145;
;;;;;;;;;;
+;id_15;holder;chrome;one_swing, two_swing;Ручка-полотенцедержатель;Ручка-полотенцедержатель хром;шт.;BYN;115;
+;id_16;holder;chrome_matte;one_swing, two_swing;Ручка-полотенцедержатель;Ручка-полотенцедержатель матовый хром;шт.;BYN;115;
+;id_17;holder;black;one_swing, two_swing;Ручка-полотенцедержатель;Ручка-полотенцедержатель черный;шт.;BYN;120;
+;id_18;holder;bronze;one_swing, two_swing;Ручка-полотенцедержатель;Ручка-полотенцедержатель бронза;шт.;BYN;145;
+;id_19;holder;gold;one_swing, two_swing;Ручка-полотенцедержатель;Ручка-полотенцедержатель золото;шт.;BYN;145;
+;id_20;holder;gold_matte;one_swing, two_swing;Ручка-полотенцедержатель;Ручка-полотенцедержатель матовое золото;шт.;BYN;150;
+;id_21;holder;white;one_swing, two_swing;Ручка-полотенцедержатель;Ручка-полотенцедержатель белый;шт.;BYN;150;
+;id_21;holder;gunmetal_grey;one_swing, two_swing;Ручка-полотенцедержатель;Ручка-полотенцедержатель оружейная сталь;шт.;BYN;150;
;;;;;;;;;;
+;id_22;sliding;chrome;one_slide,two_slide;Ручка-купе 1;Ручка-купе 1 хром;шт.;BYN;28;
+;id_23;sliding;chrome_matte;one_slide,two_slide;Ручка-купе 1;Ручка-купе 1 матовый хром;шт.;BYN;28;
+;id_24;sliding;black;one_slide,two_slide;Ручка-купе 1;Ручка-купе 1 черный;шт.;BYN;35;
+;id_25;sliding;bronze;one_slide,two_slide;Ручка-купе 1;Ручка-купе 1 бронза;шт.;BYN;40;
+;id_26;sliding;gold;one_slide,two_slide;Ручка-купе 1;Ручка-купе 1 золото;шт.;BYN;40;
+;id_27;sliding;gold_matte;one_slide,two_slide;Ручка-купе 1;Ручка-купе 1 матовое золото;шт.;BYN;45;
+;id_28;sliding;white;one_slide,two_slide;Ручка-купе 1;Ручка-купе 1 белый;шт.;BYN;50;
+;id_28;sliding;gunmetal_grey;one_slide,two_slide;Ручка-купе 1;Ручка-купе 1 оружейная сталь;шт.;BYN;50;
+;id_22_1;sliding;chrome;one_slide,two_slide;Ручка-купе 2;Ручка-купе 2 хром;шт.;BYN;90;
+;id_23_1;sliding;chrome_matte;one_slide,two_slide;Ручка-купе 2;Ручка-купе 2 матовый хром;шт.;BYN;90;
+;id_24_1;sliding;black;one_slide,two_slide;Ручка-купе 2;Ручка-купе 2 черный;шт.;BYN;90;
+;id_25_1;sliding;bronze;one_slide,two_slide;Ручка-купе 2;Ручка-купе 2 бронза;шт.;BYN;95;
+;id_26_1;sliding;gold;one_slide,two_slide;Ручка-купе 2;Ручка-купе 2 золото;шт.;BYN;95;
+;id_27_1;sliding;gold_matte;one_slide,two_slide;Ручка-купе 2;Ручка-купе 2 матовое золото;шт.;BYN;95;
+;id_28_1;sliding;white;one_slide,two_slide;Ручка-купе 2;Ручка-купе 2 белый;шт.;BYN;100;
+;id_28_1;sliding;gunmetal_grey;one_slide,two_slide;Ручка-купе 2;Ручка-купе 2 оружейная сталь;шт.;BYN;100;
;;;;;;;;;;
;;;;;;;;;;
