active;id;type;furniture_type_id;door_type_ids;interface_name;name;unit;currency;price;pathImg
;;;;;;;;;;
+;id_1;knob;chrome;one_swing, two_swing;Ручка-кноб 1;Ручка-кноб 1 хром;шт.;BYN;30;
+;id_2;knob;chrome_matte;one_swing, two_swing;Ручка-кноб 1;Ручка-кноб 1 матовый хром;шт.;BYN;33;
+;id_3;knob;black;one_swing, two_swing;Ручка-кноб 1;Ручка-кноб 1 черный;шт.;BYN;33;
+;id_4;knob;bronze;one_swing, two_swing;Ручка-кноб 1;Ручка-кноб 1 бронза;шт.;BYN;40;
+;id_5;knob;gold;one_swing, two_swing;Ручка-кноб 1;Ручка-кноб 1 золото;шт.;BYN;40;
+;id_6;knob;gold_matte;one_swing, two_swing;Ручка-кноб 1;Ручка-кноб 1 матовое золото;шт.;BYN;40;
+;id_7;knob;white;one_swing, two_swing;Ручка-кноб 1;Ручка-кноб 1 белый;шт.;BYN;45;
+;id_8;knob;gunmetal_grey;one_swing, two_swing;Ручка-кноб 1;Ручка-кноб 1 оружейная сталь;шт.;BYN;45;
+;id_1_1;knob;chrome;one_swing, two_swing;Ручка-кноб 2;Ручка-кноб 2 хром;шт.;BYN;40;
+;id_2_1;knob;chrome_matte;one_swing, two_swing;Ручка-кноб 2;Ручка-кноб 2 матовый хром;шт.;BYN;40;
+;id_3_1;knob;black;one_swing, two_swing;Ручка-кноб 2;Ручка-кноб 2 черный;шт.;BYN;40;
+;id_4_1;knob;bronze;one_swing, two_swing;Ручка-кноб 2;Ручка-кноб 2 бронза;шт.;BYN;43;
+;id_5_1;knob;gold;one_swing, two_swing;Ручка-кноб 2;Ручка-кноб 2 золото;шт.;BYN;45;
+;id_6_1;knob;gold_matte;one_swing, two_swing;Ручка-кноб 2;Ручка-кноб 2 матовое золото;шт.;BYN;45;
+;id_7_1;knob;white;one_swing, two_swing;Ручка-кноб 2;Ручка-кноб 2 белый;шт.;BYN;45;
+;id_8_1;knob;gunmetal_grey;one_swing, two_swing;Ручка-кноб 2;Ручка-кноб 2 оружейная сталь;шт.;BYN;45;
;;;;;;;;;;
+;id_8;bracket;chrome;one_swing, two_swing;Ручка-скоба 1;Ручка-скоба 1 хром;шт.;BYN;85;
+;id_9;bracket;chrome_matte;one_swing, two_swing;Ручка-скоба 1;Ручка-скоба 1 матовый хром;шт.;BYN;85;
+;id_10;bracket;black;one_swing, two_swing;Ручка-скоба 1;Ручка-скоба 1 черный;шт.;BYN;90;
+;id_11;bracket;bronze;one_swing, two_swing;Ручка-скоба 1;Ручка-скоба 1 бронза;шт.;BYN;98;
+;id_12;bracket;gold;one_swing, two_swing;Ручка-скоба 1;Ручка-скоба 1 золото;шт.;BYN;98;
+;id_13;bracket;gold_matte;one_swing, two_swing;Ручка-скоба 1;Ручка-скоба 1 матовое золото;шт.;BYN;102;
